# gap_worklist.txt - trace-driven-coverage gap-set (GENERATED)
#
# Regenerate: scripts/pcsx-redux/build_gap_worklist.py
# Definition: dumped AND NOT documented AND NOT ignored (port catalog).
# Each row = a not-yet-understood function entry to arm an exec BP on.
#
# A hit in a segment's trace.csv = this function ran in the opening =
# a documentation target. SCUS addresses (0x800xxxxx) are unambiguous;
# overlay addresses (0x801c..0x8020) are VA-aliased - attribute them with
# the trace CSV's first_mode column + the dump_stem here.
#
# Counts: 762 total (161 scus, 601 overlay).
#
# Columns: <0x-addr>  <dump_stem>   # bucket=<b> refs=<n>
0x8005b4e8  8005b4e8   # bucket=scus refs=13
0x8005b648  8005b648   # bucket=scus refs=13
0x8005b678  8005b678   # bucket=scus refs=2
0x8005ba38  8005ba38   # bucket=scus refs=8
0x8005bbf8  8005bbf8   # bucket=scus refs=2
0x8005bd40  8005bd40   # bucket=scus refs=3
0x8005bd50  8005bd50   # bucket=scus refs=2
0x8005bdec  8005bdec   # bucket=scus refs=2
0x8005be0c  8005be0c   # bucket=scus refs=3
0x8005beac  8005beac   # bucket=scus refs=3
0x8005c2e4  8005c2e4   # bucket=scus refs=3
0x8005ca34  8005ca34   # bucket=scus refs=4
0x8005cf80  8005cf80   # bucket=scus refs=4
0x8005d424  8005d424   # bucket=scus refs=5
0x8005db9c  8005db9c   # bucket=scus refs=8
0x8005de80  8005de80   # bucket=scus refs=2
0x8005ea84  8005ea84   # bucket=scus refs=4
0x8005eb68  8005eb68   # bucket=scus refs=2
0x8005ebfc  8005ebfc   # bucket=scus refs=2
0x8005ec1c  8005ec1c   # bucket=scus refs=2
0x8005ec7c  8005ec7c   # bucket=scus refs=4
0x8005ecd4  8005ecd4   # bucket=scus refs=3
0x8005ed64  8005ed64   # bucket=scus refs=4
0x8005edc4  8005edc4   # bucket=scus refs=2
0x8005ee4c  8005ee4c   # bucket=scus refs=2
0x8005ef04  8005ef04   # bucket=scus refs=3
0x8005ef40  8005ef40   # bucket=scus refs=2
0x8005f004  8005f004   # bucket=scus refs=2
0x8005f024  8005f024   # bucket=scus refs=3
0x8005f994  8005f994   # bucket=scus refs=2
0x8005f9c8  8005f9c8   # bucket=scus refs=2
0x8005fdb8  8005fdb8   # bucket=scus refs=2
0x8005fe18  8005fe18   # bucket=scus refs=4
0x8005fe7c  8005fe7c   # bucket=scus refs=2
0x8005feac  8005feac   # bucket=scus refs=1
0x8005fedc  8005fedc   # bucket=scus refs=4
0x80062164  80062164   # bucket=scus refs=2
0x80066f4c  80066f4c   # bucket=scus refs=2
0x80068c70  80068c70   # bucket=scus refs=2
0x8006ca04  8006ca04   # bucket=scus refs=2
0x8007326c  data_8007325c_around_DAT_8007326c   # bucket=scus refs=0
0x80073280  data_80073280   # bucket=scus refs=0
0x80073a00  data_80073a00   # bucket=scus refs=0
0x8007657c  slot4_handler_table_scus_0x8007657C   # bucket=scus refs=0
0x801c0164  overlay_0971_801c0164   # bucket=overlay refs=1
0x801c2520  overlay_0897_xxx_dat_801c2520   # bucket=overlay refs=3
0x801c2b58  overlay_0978_801c2b58   # bucket=overlay refs=1
0x801c3004  overlay_0978_801c3004   # bucket=overlay refs=1
0x801c39b8  overlay_0978_801c39b8   # bucket=overlay refs=1
0x801c3f44  overlay_0971_801c3f44   # bucket=overlay refs=1
0x801c56b4  overlay_0971_801c56b4   # bucket=overlay refs=3
0x801c5c58  overlay_0978_801c5c58   # bucket=overlay refs=1
0x801c5c90  overlay_0896_801c5c90   # bucket=overlay refs=3
0x801c5cf8  overlay_0896_801c5cf8   # bucket=overlay refs=0
0x801c5e28  overlay_0896_801c5e28   # bucket=overlay refs=0
0x801c5f40  overlay_0896_801c5f40   # bucket=overlay refs=1
